"Webinar | Cómo instalar Linux y no morir en el intento","UhklYUcKbjY"
"Taller | Montar un servidor samba y FTP en Linux","V_7fo8XAXD8"
"Taller | Lleva la programación al siguiente nivel con Qtile y Neovim. Sesión 1","IY0rDUYLyB0"
"Taller | Lleva la programación al siguiente nivel con Qtile y Neovim. Sesión 2","YhsBq1I4IMU"
"GNU/Linux"
"POR SI TE LO PERDISTE | Taller Mis Primeros Pasos en POO con Java","xYpE1dsXJ9Q"
"Java"
"Taller Mis primeros pasos con Git","18dqcKU6gSU"
"Taller Control de versiones con Git","rp1G3JuG21M"
"Git"
"POR SI TE LO PERDISTE | Taller Introducción a JavaScript","KmEc01Cv4Pg"
"POR SI TE LO PERDISTE | Taller Arrays y Strings con JavaScript","bvVH2hQins0"
"JavaScript"
"POR SI TE LO PERDISTE | Taller Introducción a Python","TqK2htQfQLM"
"POR SI TE LO PERDISTE | Taller de Ejercicios en Python","Ksw55n9c-Ck"
"Taller | Gráficos en Python","1OFMQ0a6m10"
"Python"